"age_group","sex","ethnic_group","sexual_identity","relationship_status","opp_one_night_stand_ok","opp_sex_without_love_ok","opp_pressure_to_have_sex","opp_men_have_higher_sex_drive","opp_too_much_sex_media","has_child"
"25-34","Male","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Mostly wrong","Agree","Agree","Neither agree or disagree","Agree",1
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Not wrong at all","Agree strongly","Agree strongly","Neither agree or disagree","Neither agree or disagree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Disagree","Agree strongly","Agree strongly","Agree",1
"25-34","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Agree strongly","Agree","Disagree","Agree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Sometimes wrong","Neither agree or disagree","Agree strongly","Disagree","Agree",1
"45-54","Male","White","Heterosexual/straight",NA,"Sometimes wrong","Disagree","Agree","Neither agree or disagree","Disagree",1
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Neither agree or disagree","Don't know","Don't know","Agree",2
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Neither agree or disagree","Agree","Agree","Agree",2
"16-24","Female","White","Heterosexual/straight","Living with partner","Sometimes wrong","Agree","Agree","Neither agree or disagree","Agree",2
"35-44","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Rarely wrong","Agree","Agree","Neither agree or disagree","Agree",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Sometimes wrong","Agree","Agree","Agree","Agree",1
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Depends/Don't know","Agree","Neither agree or disagree","Disagree","Neither agree or disagree",2
"35-44","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Sometimes wrong","Agree","Agree","Neither agree or disagree","Neither agree or disagree",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Mostly wrong","Agree","Agree strongly","Disagree","Agree strongly",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Rarely wrong","Agree","Disagree","Disagree","Disagree",1
"45-54","Female","Not white","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree",2
"35-44","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree","Neither agree or disagree","Neither agree or disagree","Disagree",2
"45-54","Female","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree","Agree","Agree","Agree",2
"16-24","Female","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Depends/Don't know","Neither agree or disagree","Agree","Neither agree or disagree","Neither agree or disagree",1
"16-24","Female","White","Heterosexual/straight","In a steady & ongoing relationship  but not living with a partner in last year","Always wrong","Disagree","Disagree","Agree","Neither agree or disagree",1
"25-34","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Mostly wrong","Disagree","Agree strongly","Neither agree or disagree","Neither agree or disagree",1
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree","Agree","Agree strongly","Agree",2
"45-54","Female","White","Heterosexual/straight","Divorced/Separated and not in a steady & ongoing relationship in last year","Mostly wrong","Neither agree or disagree","Agree strongly","Neither agree or disagree","Agree strongly",2
"65-74","Female","White","Heterosexual/straight","Living with partner","Mostly wrong","Disagree","Disagree","Agree","Agree strongly",2
"45-54","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Mostly wrong","Agree","Agree","Neither agree or disagree","Neither agree or disagree",1
"65-74","Male","White","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Not wrong at all","Agree","Neither agree or disagree","Neither agree or disagree","Agree",2
"25-34","Female","Not white","Heterosexual/straight","Previously lived with partner  as a non-married couple but not now in a steady & ongoing relationship in last year","Sometimes wrong","Neither agree or disagree","Neither agree or disagree","Disagree","Agree",2
"65-74","Female","Not white","Heterosexual/straight","Married/In a civil partnership and living with spouse/partner","Always wrong","Neither agree or disagree","Agree strongly","Agree strongly","Agree strongly",2
"16-24","Male","White","Heterosexual/straight","Never married, or lived with partner and not in a steady & ongoing relationship in last year","Rarely wrong","Agree strongly","Agree","Disagree","Disagree",1
