agrp,rsex,ethnicgrpr,sexidr,rnssecgp_6,adj_imd_quintile,rwcasual,snnolov,snpres,snold,snsexdrv,snmedia,snearly,attconservative,dage1ch,disabil2,depscr,religimp,relstatr,total_wt
25-34,Male,White,Heterosexual/straight,Lower supervisory and technical occupations,3.0,Always wrong,Disagree,Agree,Agree,Agree,Agree,Agree strongly,1.366544595032555,,None,No,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.46051446201728763
35-44,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Not wrong at all,Agree,Neither agree or disagree,Disagree,Disagree,Disagree,Neither agree or disagree,-2.3896493344530185,,None,No,Not important at all,Living with partner,1.9239441434632039
16-24,Female,White,Heterosexual/straight,Student in full-time education,4.0,Sometimes wrong,Agree,Disagree,Disagree,Agree,Agree,Agree,-0.7515043137155201,,None,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,1.0208557713030888
45-54,Female,Not white,Not heterosexual/straight,Semi-routine and routine occupations,[most deprived],Always wrong,Disagree strongly,Disagree,Don't know,Neither agree or disagree,Agree strongly,Agree strongly,,28.0,None,Yes,Very important,,0.8074293212808281
25-34,Male,Not white,Not heterosexual/straight,Managerial and prof occupations,[most deprived],Always wrong,Disagree strongly,Don't know,Don't know,Disagree,Don't know,Agree strongly,,23.0,None,No,Very important,Married/In a civil partnership and living with spouse/partner,1.0390816088438288
16-24,Female,Not white,Heterosexual/straight,Student in full-time education,4.0,Always wrong,Disagree strongly,Agree strongly,Disagree,Agree,Agree,Agree,0.9944980123546295,,None,,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.5381794856147598
25-34,Female,Not white,Heterosexual/straight,Lower supervisory and technical occupations,[most deprived],Always wrong,Disagree strongly,Agree,Agree,Neither agree or disagree,Agree strongly,Agree strongly,1.7961533205060984,,None,No,Very important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.6600990706587376
16-24,Female,White,Heterosexual/straight,Semi-routine and routine occupations,[most deprived],Mostly wrong,Agree,Agree,Neither agree or disagree,Agree strongly,Agree strongly,Agree,0.6190099436874961,,Limiting,No,Not very important,In a steady & ongoing relationship  but not living with a partner in last year,0.2707254207325315
25-34,Female,White,Heterosexual/straight,Intermediate occupations,[most deprived],Mostly wrong,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,-0.23222617290989925,25.0,None,No,Fairly important,Married/In a civil partnership and living with spouse/partner,0.5255895995562805
35-44,Female,White,Heterosexual/straight,Semi-routine and routine occupations,3.0,Always wrong,Agree,Disagree,Agree,Agree,Agree,Agree strongly,0.4273441811707933,25.0,None,No,Fairly important,Divorced/Separated and not in a steady & ongoing relationship in last year,0.6261718960451294
55-64,Male,White,Heterosexual/straight,No job of 10+ hrs/week in last 10 years,[most deprived],Always wrong,Agree,Disagree,Agree,Disagree,Neither agree or disagree,Agree,-0.7294738103781665,17.0,Limiting,No,Not very important,Married/In a civil partnership and living with spouse/partner,2.2711294294704207
25-34,Female,White,Heterosexual/straight,Intermediate occupations,2.0,Sometimes wrong,Agree,Agree,Neither agree or disagree,Disagree,Agree,Agree,-0.46751733729055467,25.0,None,No,Not important at all,In a steady & ongoing relationship  but not living with a partner in last year,0.26279479977814024
16-24,Female,White,Heterosexual/straight,Never worked or long term unemployed,2.0,Sometimes wrong,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,-0.0725848962692518,,None,Yes,Fairly important,"Never married, or lived with partner and not in a steady & ongoing relationship in last year",0.35533291988183835
45-54,Male,White,Heterosexual/straight,Small employers and own account workers,4.0,Mostly wrong,Agree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,-1.2437576671828252,24.0,Limiting,Yes,Not very important,Divorced/Separated and not in a steady & ongoing relationship in last year,1.5793088179894195
