,A,B,C,D
0,90,46,4,79
1,2,99,5,71
2,73,35,17,87
3,61,96,42,55
4,9,34,73,23
5,6,50,77,45
6,58,71,19,11
7,16,46,50,96
8,37,16,48,61
9,50,83,70,19
10,8,93,6,90
11,32,55,58,49
12,5,18,5,46
13,66,19,75,11
14,3,26,48,10
15,9,69,71,59
16,81,69,44,0
17,68,9,32,80
18,91,41,4,30
19,74,85,31,19
20,47,7,24,58
21,72,22,61,18
22,62,18,11,32
23,74,58,67,43
24,59,57,97,37
25,95,77,84,37
26,76,17,10,33
27,28,26,34,22
28,45,75,56,81
29,4,61,76,47
30,26,44,54,37
31,63,86,51,3
32,12,30,44,16
33,51,93,42,98
34,90,74,16,85
35,88,79,27,97
36,27,87,91,74
37,10,9,42,24
38,81,6,79,5
39,41,76,4,69
40,2,14,8,15
41,97,11,74,79
42,31,41,49,88
43,10,78,47,19
44,40,30,82,13
45,2,74,63,98
46,27,54,69,38
47,3,8,96,64
48,27,41,62,75
49,60,59,39,81
50,19,17,26,35
51,64,70,74,95
52,12,4,15,76
53,1,84,78,47
54,55,50,82,71
55,65,24,45,27
56,50,69,38,58
57,22,59,34,13
58,83,92,66,87
59,31,30,90,5
60,95,78,44,71
61,81,32,54,23
62,21,16,63,63
63,66,0,66,40
64,83,19,23,8
65,72,41,63,64
66,64,91,92,58
67,95,81,38,53
68,39,83,78,24
69,6,81,61,55
70,86,85,48,74
71,44,38,4,11
72,3,82,13,1
73,11,8,89,96
74,88,45,67,35
75,43,20,90,83
76,95,29,99,47
77,2,32,73,12
78,89,57,98,98
79,48,1,66,43
80,90,41,52,64
81,21,30,22,51
82,11,85,85,84
83,66,54,22,97
84,98,42,77,2
85,43,28,21,91
86,33,87,81,76
87,99,86,64,91
88,28,39,16,31
89,62,38,45,15
90,87,10,28,49
91,89,12,77,88
92,62,96,82,42
93,81,49,4,27
94,10,31,53,22
95,55,50,17,75
96,77,1,59,2
97,69,91,18,91
98,66,90,80,30
99,31,84,33,84
